# "year", "no", "page", "clipno", "area", "class"
2014,8,55,6,9810,0
2013,9,4,5,16200,0
2014,6,63,0,1467726,1
2014,6,59,0,13338,0
2014,8,59,3,473460,1
2014,7,66,0,1467726,1
2013,9,92,4,549504,1
2014,10,87,8,732342,1
2014,5,38,1,471000,1
2014,4,53,3,417456,1
2014,4,13,4,75999,0
2014,2,77,2,5376,0
2013,8,60,3,5325,0
2014,8,78,4,194256,1
2014,4,93,0,5292,0
2013,9,92,1,236340,0
2014,9,87,5,193674,1
2014,9,80,5,6225,0
2014,2,51,2,7371,0
2014,10,92,1,110376,0
2014,3,88,6,38493,0
2014,5,75,1,766641,1
2013,9,58,3,433398,1
2014,2,51,1,49776,0
2014,9,91,0,8643,0
2014,7,94,17,22644,0
2014,4,99,1,22464,0
2014,9,73,2,56169,0
2014,6,94,9,22950,0
2014,5,60,0,1467726,0
2014,3,93,6,119505,0
2014,6,90,2,39672,0
2014,1,87,9,638001,1
2013,10,54,1,10428,0
2014,9,83,6,24459,0
2014,3,34,0,49416,0
2014,7,89,1,34656,0
2014,5,79,1,21060,0
2014,3,51,2,285936,1
2014,1,59,7,14016,0
2014,5,96,1,73632,0
2014,8,18,3,43524,0
2014,2,25,3,28737,0
2014,7,27,2,553584,1
2014,7,4,9,21489,0
2014,7,24,4,4437,0
2014,9,38,0,1467726,1
2014,1,87,7,46800,1
2014,8,88,6,21150,0
2014,7,65,3,52326,0
2013,8,37,1,171699,1
2014,5,51,7,13794,0
2013,10,76,0,22509,0
2014,5,68,0,2100,0
2013,8,90,9,82350,0
2014,1,4,9,14964,0
2014,4,62,0,23826,0
2014,6,25,4,165711,0
2013,8,22,1,741234,0
2013,10,92,1,236340,0
2014,4,76,0,1467726,1
2014,10,62,1,1291212,1
2013,9,88,8,31740,0
2014,8,84,1,101331,0
2014,4,69,3,283176,0
2014,8,55,1,31236,0
2014,4,18,2,1280610,0
2013,8,30,1,127254,1
2014,7,53,1,384930,1
2014,7,49,1,850407,1
2014,10,13,9,64380,0
2014,10,96,7,353910,1
2014,9,44,0,655338,1
2014,3,87,1,2310,0
2014,7,8,6,11880,0
2014,9,30,0,34500,0
2014,8,71,1,2814,0
2014,8,17,0,815808,1
2013,10,87,8,18009,0
2014,9,27,7,215136,1
2014,1,70,2,10611,0
2013,10,45,1,9672,0
2014,7,82,3,381969,1
2014,6,87,1,2646,0
2014,2,98,2,31062,0
2014,3,24,0,1425843,1
2014,2,72,1,226380,1
2014,3,70,4,16554,0
2014,4,13,3,30609,1
2014,9,21,9,25506,0
2014,5,97,3,21840,0
2014,7,31,2,48654,1
2014,5,82,5,159600,0
2014,2,77,0,14850,0
2013,10,77,2,2613,0
2014,8,31,5,1178352,1
2014,7,6,0,6804,0
2013,8,83,4,9660,0
2014,8,28,10,31185,0
2014,4,9,3,939636,1
2014,7,53,0,447966,0
2013,10,27,1,19440,0
2013,9,23,3,289008,1
2014,1,80,1,673839,1
2014,10,57,3,2610,0
2014,7,39,2,91530,0
2014,5,63,2,39618,0
2014,2,86,5,172617,0
2013,10,86,10,12627,0
2014,3,4,14,16965,0
2014,8,57,0,190404,0
2013,9,29,3,7626,0
2014,8,88,5,54108,0
2014,3,65,4,68034,0
2014,7,42,2,1101705,1
2013,10,5,0,46926,0
2013,9,35,4,3465,0
2014,4,45,0,223614,1
2014,2,4,14,13485,0
2014,10,1,2,44268,0
2014,5,78,1,22419,0
2014,8,80,7,7524,0
2014,3,97,3,137529,0
2014,9,64,2,1263843,1
2014,3,36,1,14430,0
2013,8,99,4,56682,0
2014,2,38,1,1467726,1
2014,9,13,3,130380,1
2013,9,81,0,2436,0
2014,7,9,1,1467726,1
2013,9,78,0,151800,0
2014,3,43,2,44004,0
2014,6,16,0,57645,0
2014,8,43,2,3900,0
2014,5,25,2,11205,0
2013,10,31,1,216144,1
2014,3,9,6,5859,0
2014,9,81,3,21450,0
2014,7,94,12,52824,0
2014,2,62,2,2142,0
2014,5,19,1,1467726,1
2013,9,27,0,194880,1
2014,9,53,2,8910,0
2014,10,83,7,556368,1
2014,9,9,0,20064,0
2014,2,41,2,12300,0
2014,2,42,1,668307,0
2013,8,13,1,10788,0
2014,5,91,4,3498,0
2014,2,16,1,1209216,1
2014,10,94,13,33441,0
2014,4,91,2,14700,0
2013,8,17,1,2268,0
2014,9,95,8,349554,1
2014,2,84,4,4230,0
2013,10,99,0,37710,0
2013,8,60,1,4140,0
2014,9,15,5,70452,0
2014,9,52,0,152154,0
2014,10,4,1,9405,0
2013,9,98,0,70785,0
2014,7,98,3,2184,0
2014,10,26,3,1380318,1
2014,2,95,1,4536,0
2014,1,63,4,2832,0
2014,9,47,3,23415,0
2014,3,80,0,53424,0
2014,10,50,0,51504,0
2014,4,94,16,9828,0
2014,6,65,3,5871,0
2014,3,15,1,621180,1
2013,8,94,13,22950,0
2014,6,17,2,58905,0
2013,8,39,0,2268,0
2013,9,45,0,509796,1
2014,7,41,1,123120,0
2014,8,88,0,6426,0
2014,1,58,4,46920,0
2014,7,47,0,3996,0
2014,3,94,4,15552,0
2013,9,75,0,31827,1
2014,1,88,13,333216,0
2014,4,20,0,34749,0
2014,10,86,0,2478,0
2014,6,83,2,1195776,1
2014,2,46,0,2184,0
2014,2,62,1,572280,1
2014,9,83,8,8970,0
2014,6,86,5,237843,1
2014,3,47,1,8250,0
2013,8,88,10,36156,0
2014,9,15,0,8721,0
2013,8,92,5,28836,0
2013,8,10,1,32760,0
2014,2,69,0,474030,1
2013,10,64,1,984528,1
2014,9,85,8,4752,0
2014,8,45,3,187473,0
2013,9,69,0,1250700,1
2013,10,55,15,127920,0
2014,2,98,5,410784,1
2014,9,93,4,264096,1
2014,2,9,1,223482,0
2013,10,66,11,148512,0
2014,10,96,2,68094,0
2013,9,88,14,18960,0
2014,8,11,0,17640,0
2014,5,22,0,55188,0
2014,9,12,1,34719,0
2014,6,37,4,1467726,1
2013,10,4,1,59280,0
2014,8,6,14,14616,0
2013,9,59,0,15708,0
2014,2,46,7,804669,1
2013,8,84,5,5049,0
2014,3,19,11,148512,0
2014,6,87,5,244737,1
2014,9,52,3,1425843,1
2014,8,56,1,57456,0
2013,9,49,19,127920,0
2014,8,85,6,9300,0
2014,3,66,3,170976,0
2014,4,87,6,46800,1
2014,5,34,3,23460,0
2014,7,16,1,43524,0
2014,5,11,2,52164,0
2014,3,64,0,628290,0
2014,9,61,0,13992,0
2014,4,66,2,205686,1
2014,1,84,0,76635,0
2014,2,100,6,15732,0
2014,10,92,0,6048,0
2014,10,92,7,28836,0
2013,9,94,7,47424,0
2013,10,97,6,6096,0
2014,1,98,1,93312,0
2014,4,14,0,1467726,1
2014,6,81,1,122409,0
2014,1,4,4,7467,0
2014,8,53,1,2688,0
2014,6,6,0,1245735,0
2014,1,21,1,319308,1
2014,3,11,1,6840,0
2013,8,88,4,149058,0
2014,1,82,4,149184,0
2014,2,33,2,3195,0
2013,9,15,0,1467726,1
2014,3,88,0,6426,0
2014,1,35,0,38613,0
2014,9,88,9,49170,0
2014,7,1,1,1367571,1
2014,4,93,5,119040,0
2014,4,19,4,141102,0
2014,8,95,3,23232,0
2014,7,57,16,127920,0
2014,2,84,1,100914,0
2013,10,90,7,6000,0
2014,10,50,1,1356498,1
2014,2,14,6,58824,0
2014,1,84,2,13350,0
2014,9,55,1,1068639,0
2014,6,96,5,153765,0
2014,2,100,2,8901,0
2014,7,98,1,16830,0
2014,9,90,1,29853,0
2014,3,53,2,79056,1
2014,9,97,3,68310,1
2013,10,80,5,125487,0
2014,1,12,2,41184,0
2014,6,94,7,22950,0
2013,9,57,0,505719,1
2014,9,83,1,17340,0
2014,1,93,0,5838,0
2014,7,100,4,1467726,1
2014,5,58,0,244800,0
2014,10,88,8,6120,0
2014,3,84,1,76635,0
2014,5,92,1,110376,0
2014,2,73,0,2478,0
2014,5,83,4,8970,0
2014,5,72,2,87984,0
2014,7,34,0,1079853,1
2014,2,80,4,161007,0
2014,6,95,9,187200,1
2014,7,87,1,3192,0
2014,5,88,11,144669,0
2013,8,82,1,29892,0
2014,4,45,2,3738,0
2014,5,98,2,28755,0
2014,5,41,1,221616,0
2014,3,17,0,41205,0
2014,4,66,1,226380,1
2013,10,33,6,48015,0
2013,9,25,2,174174,0
2013,8,90,1,4539,0
2014,10,21,5,583395,1
2014,1,5,1,283566,1
2013,10,68,4,16554,0
2013,10,90,4,1911,0
2013,8,96,4,6096,0
2014,2,69,1,706056,1
2013,9,85,2,54285,0
2014,4,78,0,1467726,1
2013,10,90,0,8400,0
2013,8,94,2,58443,0
2014,7,86,4,237843,1
2013,9,17,6,62244,0
2014,6,19,1,306240,1
2013,9,19,1,2898,0
2014,4,94,0,5166,0
2014,10,33,7,4230,0
2013,8,98,4,480480,1
2014,5,78,3,213885,0
2014,9,94,12,80427,1
2014,10,4,3,7467,0
2014,5,61,0,30048,0
2014,2,74,0,1246152,1
2014,1,60,4,320796,1
2013,9,31,2,3861,0
2013,8,95,4,25704,0
2014,2,50,5,17640,0
2014,10,96,4,11439,0
2014,9,14,3,10458,0
2013,10,38,2,1467726,1
2014,5,78,4,508551,1
2014,2,88,13,333216,0
2013,10,46,2,1078434,1
2014,2,94,2,22950,0
2014,4,88,8,6120,0
2014,7,4,11,17574,0
2014,7,52,3,75411,0
2014,8,91,7,4557,0
2014,2,94,14,22950,0
2013,10,87,4,196812,1
2014,7,61,0,716931,1
2013,9,68,0,1117662,1
2014,2,4,13,14442,0
2014,9,73,13,7224,0
2014,8,45,2,72450,0
2014,9,88,3,7638,0
2014,4,94,20,5049,0
2014,2,78,1,57552,0
2014,2,46,5,16692,0
2013,10,96,5,369270,1
2014,10,43,0,381420,1
2014,5,78,0,124278,0
2013,10,4,11,18879,0
2014,5,97,9,20700,0
2014,10,91,6,4557,0
2013,10,83,2,20160,0
2014,4,91,4,3498,0
2014,6,25,3,5130,0
2014,9,98,6,97344,0
2014,7,29,0,8580,0
2014,10,96,8,6096,0
2014,9,80,2,64449,0
2014,9,2,0,1467726,1
2014,9,88,1,13464,0
2014,6,33,0,371484,1
2014,4,69,4,57960,0
2014,2,70,7,18204,0
2014,6,98,1,16830,0
2014,2,71,2,26607,0
2014,3,57,10,3276,0
2013,8,4,1,86400,0
2014,3,46,1,165834,0
2014,4,91,10,10452,0
2014,1,83,1,38160,0
2014,9,5,4,23994,0
2014,9,68,2,24480,0
2013,10,80,3,83331,0
2013,9,13,0,24570,0
2014,1,87,0,2520,0
2014,5,27,2,16536,0
2014,7,91,4,3498,0
2014,9,93,0,6216,0
2014,6,52,0,519480,0
2014,8,89,1,1453218,1
2014,2,3,3,24174,0
2014,10,21,2,41400,0
2014,3,38,1,5544,0
2014,3,16,3,43524,0
2014,8,80,9,22185,0
2014,5,58,1,928710,0
2014,9,88,7,45732,0
2014,1,47,7,126378,1
2014,10,86,1,149076,0
2014,7,21,3,14691,0
2014,5,97,1,22698,0
2014,8,34,2,11988,0
2014,1,33,0,1393065,1
2013,8,93,3,5940,0
2013,8,88,0,6426,0
2014,1,39,2,9702,0
2013,9,57,1,512616,1
2014,5,97,10,5715,0
2013,9,79,3,155382,0
2013,8,60,0,3975,0
2014,8,46,1,1275750,1
2014,9,86,7,12627,0
2013,10,84,0,76635,0
2014,4,20,1,9792,0
2014,6,86,6,34560,0
2014,9,17,4,1176588,1
2013,9,90,1,4539,0
2014,10,91,4,3498,0
2014,3,79,0,13104,0
2014,5,53,9,66120,0
2014,7,3,4,14391,0
2013,10,14,0,1429038,1
2014,9,31,0,137385,0
2014,10,83,4,26280,0
2014,2,14,3,62436,0
2013,8,95,1,2814,0
2014,7,95,7,7560,0
2014,1,3,3,24174,0
2014,9,1,0,1467726,1
2013,8,94,4,22644,0
2014,6,94,18,92136,0
2013,8,8,0,514080,1
2014,8,43,0,203616,1
2014,8,30,1,226767,0
2013,9,82,0,158400,0
2014,7,83,3,8970,0
2013,8,90,12,1054248,1
2014,5,74,1,6612,0
2013,10,97,7,5202,0
2014,3,90,7,43659,0
2014,1,55,0,1272,0
2014,8,61,1,141750,0
2014,3,92,0,5418,0
2014,6,5,2,39375,0
2014,6,94,8,47424,0
2014,10,86,6,12627,0
2014,2,88,6,42861,0
2014,3,12,2,35910,0
2014,5,52,2,90945,1
2014,9,96,1,255936,1
2013,10,54,3,109752,0
2014,5,26,3,97584,1
2014,8,92,5,49662,0
2013,10,52,3,479670,1
2013,10,85,0,12798,0
2013,10,75,1,80685,0
2013,9,94,4,22644,0
2013,9,23,2,54462,0
2013,10,92,0,6090,0
2014,6,96,9,4998,0
2013,8,47,7,15120,0
2014,5,94,0,4914,0
2014,3,53,3,15552,0
2014,6,98,5,4998,0
2014,8,87,4,171129,1
2014,7,57,11,6624,0
2013,8,4,6,12474,0
2013,8,88,6,42861,0
2013,8,75,0,1248426,1
2013,8,22,0,619140,1
2014,2,94,17,92136,0
2014,1,38,2,182595,0
2014,9,33,4,67050,0
2014,3,21,0,10074,0
2014,1,5,2,46926,0
2014,8,54,1,60813,0
2014,9,82,6,5049,0
2014,1,36,7,271890,0
2014,10,96,9,4998,0
2014,7,80,8,93984,0
2014,7,92,7,5049,0
2014,8,58,0,531360,1
2014,9,97,5,45684,0
2014,9,21,10,31806,0
2014,9,68,1,724605,1
2014,2,78,0,51450,0
2014,7,74,0,158574,0
2013,9,86,1,68295,0
2014,5,65,0,419520,1
2013,10,88,9,6396,0
2014,2,57,0,17934,0
2014,10,94,1,39618,0
2014,2,40,0,746844,1
2014,4,94,6,39432,0
2013,9,82,6,5049,0
2014,10,89,1,1453218,1
2014,7,82,5,11160,0
2014,5,4,12,12528,0
2014,7,77,1,194586,0
2014,10,88,12,106155,0
2014,4,49,0,8190,0
2013,10,94,0,6090,0
2014,4,61,1,7920,0
2014,1,54,3,39900,0
2013,10,89,0,17775,0
2014,5,4,10,371424,1
2014,8,9,1,100392,0
2014,2,35,0,94923,0
2014,1,4,5,42957,0
2014,1,82,0,7296,0
2014,10,4,15,8151,0
2014,7,85,2,9750,0
2014,4,13,9,157584,0
2013,10,79,1,975270,1
2014,6,84,3,16605,0
2014,9,56,1,1356498,1
2013,9,88,7,59292,0
2014,2,41,0,3600,0
2014,4,73,0,1467726,1
2014,5,91,3,9792,0
2014,7,53,2,13620,0
2014,6,91,0,8643,0
2014,10,37,8,430494,1
2014,8,80,6,6720,0
2014,4,8,0,1290432,1
2014,3,4,5,7467,0
2014,1,88,5,10062,0
2014,5,84,6,5049,0
2013,8,12,4,29799,0
2014,10,13,12,181260,1
2014,10,35,0,1467726,1
2013,10,92,2,89661,0
2013,9,11,5,235950,0
2014,4,80,3,84600,0
2014,2,46,2,65913,0
2013,10,98,3,607365,1
2014,4,13,1,26244,0
2014,3,93,4,99072,0
2013,10,93,1,22176,0
2014,2,70,3,11340,0
2014,6,44,2,405234,1
2013,9,27,2,10269,0
2014,9,98,5,10512,0
2014,5,49,0,37074,0
2014,9,99,4,34236,0
2014,4,87,0,2520,0
2013,10,76,3,61419,0
2014,4,87,2,5508,0
2013,9,43,3,11424,0
2013,9,4,2,7467,0
2013,10,41,1,3264,0
2014,2,49,2,181740,0
2014,7,22,0,6216,0
2013,9,6,2,21672,0
2014,7,46,3,3087,0
2014,4,80,2,66456,0
2014,7,60,2,289080,0
2013,10,61,1,1077450,1
2014,8,88,2,58725,0
2014,10,36,0,62100,1
2014,1,67,0,1332972,1
2013,8,1,1,11760,0
2014,1,60,1,51600,0
2013,8,53,3,59175,0
2014,6,95,2,17556,0
2013,8,84,0,76635,0
2014,5,72,0,1291089,0
2013,8,71,3,372600,1
2014,7,94,19,4620,0
2014,3,9,4,48285,0
2014,2,6,3,9858,0
2014,5,22,6,8160,0
2013,9,96,1,64206,0
2013,8,26,0,44928,0
2014,7,77,0,9018,0
2014,3,13,0,1369710,1
2014,6,85,7,160992,0
2014,8,16,4,43524,0
2014,4,44,0,1467726,1
2014,8,69,1,330264,0
2014,6,14,3,27219,0
2013,8,16,1,315675,1
2014,3,88,12,146661,0
2014,7,97,2,5355,0
2014,4,31,1,75336,0
2013,8,53,5,1168200,1
2014,4,64,1,13032,0
2014,7,37,3,1227354,0
2014,9,14,1,28392,0
2014,10,88,11,146661,0
2013,8,60,7,145260,0
2014,10,82,0,186636,0
2013,10,90,11,15651,0
2014,3,79,4,365838,1
2014,5,23,3,42582,0
2013,10,72,8,4212,0
2014,1,88,6,42861,0
2014,6,53,4,13986,0
2014,4,16,2,253692,1
2013,8,51,7,16980,0
2014,9,5,6,257040,1
2014,1,88,11,146661,0
2014,10,88,13,333750,0
2014,4,92,5,49662,0
2014,4,33,3,13344,0
2014,8,97,5,20436,0
2014,7,92,0,6258,0
2013,9,53,0,6216,0
2014,5,96,8,646455,1
2014,8,67,0,36540,0
2014,6,12,2,1371006,1
2014,3,12,0,61671,0
2014,5,42,2,759357,1
2013,10,81,0,2058,0
2014,8,92,7,28836,0
2014,3,10,1,43524,0
2014,6,20,2,185220,1
2014,7,33,3,8505,0
2014,9,37,0,3996,0
2014,8,22,1,22740,0
2014,6,32,3,710190,1
2014,10,13,2,7791,0
2014,4,13,0,15795,0
2014,2,76,7,121104,1
2014,9,14,0,1222212,1
2014,7,20,3,1371006,1
2014,10,88,1,13464,0
2013,9,97,3,39528,0
2014,4,91,11,2520,0
2014,6,95,3,4944,0
2014,2,81,3,1514718,1
2014,9,12,0,130788,0
2014,2,88,8,31740,0
2013,8,65,1,145755,0
2014,1,82,10,5049,0
2014,5,93,2,89856,0
2013,10,94,5,39432,0
2014,1,88,7,59292,0
2014,1,91,0,8643,0
2014,9,96,2,31950,0
2013,9,43,8,18576,0
2014,2,45,0,866796,1
2014,5,13,0,1467726,1
2014,5,54,5,43026,0
2013,9,97,5,5292,0
2013,9,75,2,975270,1
2014,6,53,0,236208,0
2013,10,54,4,52920,0
2014,1,5,5,182532,0
2014,4,85,0,66603,0
2014,6,16,3,13416,0
2014,10,33,0,121410,1
2013,8,39,1,204960,1
2013,9,62,2,601704,1
2013,10,54,6,705318,0
2014,1,20,2,537726,1
2014,10,80,4,3402,0
2014,7,94,5,22644,0
2014,2,4,8,19662,0
2014,4,40,1,456300,1
2014,6,91,9,537672,0
2013,8,24,1,1467726,1
2014,8,49,6,78750,0
2014,7,96,1,255936,1
2014,7,96,7,16320,0
2014,7,94,3,36864,0
2014,7,85,5,1044900,1
2014,5,12,3,43524,0
2013,8,60,6,57780,0
2014,9,30,2,823092,1
2014,8,69,5,919605,1
2014,5,91,10,10452,0
2014,10,39,3,5940,0
2014,1,97,0,114075,0
2014,4,59,0,8721,0
2014,8,82,4,184800,0
2014,7,15,1,74760,1
2014,6,93,1,89856,0
2013,8,76,6,29928,0
2014,3,86,2,64395,0
2014,9,37,1,7056,0
2014,1,96,8,29904,0
2014,10,33,5,369600,0
2014,6,77,2,720564,1
2014,1,59,0,182100,1
2013,8,39,5,59850,0
2014,9,31,2,1425843,1
2013,9,6,6,2100,0
2014,8,73,1,1167261,1
2013,10,62,3,84972,0
2014,4,87,3,48276,0
2014,2,91,7,2250,0
2014,6,57,0,41658,0
2014,1,4,13,270072,1
2014,5,51,5,21978,0
2014,10,14,3,80586,0
2013,10,84,4,3948,0
2014,4,94,15,95277,0
2014,6,68,2,41613,0
2014,6,45,1,1467726,1
2014,4,70,3,141480,0
2014,9,89,0,14652,0
2014,1,7,5,1362900,1
2013,10,91,2,4914,0
2014,8,20,1,12711,0
2014,10,90,2,10266,0
2014,6,88,5,21150,0
2014,5,85,0,2478,0
2014,7,99,7,5049,0
2014,2,96,2,124254,0
2014,5,86,7,368220,0
2014,2,97,4,26550,0
2014,1,76,4,469710,1
2014,9,46,2,764820,1
2014,10,97,8,5049,0
2014,6,70,3,205686,1
2014,10,79,0,1249050,1
2013,8,34,1,67164,0
2014,1,68,1,704700,1
2013,9,7,1,101175,0
2014,4,55,6,46452,0
2014,2,90,5,16128,0
2014,7,71,2,210540,1
2014,8,31,3,41064,0
2014,10,82,3,381969,1
2013,9,7,8,5775,0
2013,10,41,5,207459,0
2013,9,74,5,261960,0
2014,3,55,4,885768,1
2014,6,89,0,14652,0
2014,7,14,5,11481,0
2014,4,88,13,333216,0
2014,7,97,3,551034,1
2014,5,22,3,14910,0
2014,7,60,5,341550,1
2014,10,4,13,21489,0
2013,10,16,1,4110,0
2013,8,94,12,9639,0
2014,3,21,2,1467726,1
2014,2,70,12,220506,1
2014,3,94,15,95277,0
2014,7,56,3,145260,0
2014,10,14,5,19158,0
2014,7,68,1,706548,1
2014,1,82,7,159600,0
2014,6,47,1,64068,0
2014,1,72,2,205686,1
2014,5,29,3,251301,1
2014,1,76,2,133509,1
2014,4,96,6,646455,1
2014,4,23,2,393597,1
2014,8,80,2,64449,0
2014,10,64,2,798786,1
2014,5,73,2,63072,1
2014,10,44,0,1467726,0
2013,8,61,8,7476,0
2014,4,33,7,3744,0
2014,1,94,14,95277,0
2014,6,54,0,2142,0
2014,1,83,0,1950,0
2013,8,86,6,237843,1
2014,1,21,2,966951,1
2014,3,82,2,9438,0
2014,1,39,3,1342077,0
2014,5,23,1,43800,0
2014,5,97,5,14400,0
2014,4,91,9,537672,0
2014,10,39,1,16389,0
2014,7,84,3,16605,0
2013,9,76,2,65151,0
2014,1,42,0,1256490,1
2013,10,86,2,62916,1
2014,2,59,3,55755,0
2014,9,4,2,56406,0
2014,9,33,5,426024,1
2013,8,74,4,9360,0
2014,9,29,0,246744,0
2014,4,95,3,120582,0
2013,9,5,0,46926,0
2013,8,61,16,72864,0
2014,10,21,4,48360,0
2013,9,4,1,100320,0
2014,6,97,7,16929,0
2014,2,50,2,239358,1
2014,7,4,20,7182,0
2014,6,87,6,46800,1
2013,8,80,0,53424,0
2013,9,49,2,11280,0
2014,8,94,7,9027,0
2014,2,19,0,122682,1
2014,4,4,4,56880,0
2013,9,43,12,223590,1
2014,10,96,5,153765,0
2014,8,88,13,333750,0
2014,6,25,2,923247,1
2013,8,79,2,217980,1
2014,2,94,3,36099,0
2014,2,93,2,76152,0
2013,9,49,5,2832,0
2013,10,24,0,1467726,1
2014,10,57,14,7224,0
2014,8,94,15,5049,0
2014,4,83,4,8970,0
2014,8,97,3,551034,1
2013,8,61,10,3774,0
2014,4,16,3,9576,0
2014,5,4,13,12615,0
2014,5,88,10,44016,0
2013,9,81,3,6201,0
2014,7,4,6,2916,0
2013,10,66,12,220077,1
2014,5,48,0,3696,0
2014,8,82,5,11160,0
2013,10,23,5,704727,1
2013,9,28,0,156546,0
2014,6,92,0,5628,0
2014,9,33,0,6966,0
2014,1,4,15,19140,0
2014,2,83,3,77115,0
2014,7,75,0,1467726,1
2013,8,4,0,5712,0
2014,1,13,4,844290,1
2013,8,92,6,5049,0
2014,3,63,3,245700,1
2014,2,27,2,15456,0
2014,4,33,2,13908,0
2014,8,96,7,353910,1
2014,6,45,0,7992,0
2014,9,95,10,101460,1
2014,1,55,1,20664,0
2013,8,6,3,8190,0
2014,8,61,0,849282,1
2013,8,88,1,13464,0
2014,2,20,1,63342,1
2014,6,64,1,436464,1
2014,9,59,3,126195,1
2014,4,95,0,5250,0
2014,5,96,7,7656,0
2014,2,98,1,22425,0
2014,7,18,2,17250,0
2013,8,74,6,239400,0
2014,2,71,3,1127199,0
2014,1,95,3,109620,0
2013,10,97,3,80172,0
2014,2,40,2,78498,0
2013,8,10,0,4200,0
2014,1,72,3,320415,1
2014,3,66,1,464769,1
2014,4,94,13,9639,0
2014,4,70,2,35970,0
2014,6,22,2,1307478,1
2014,9,18,0,463320,1
2014,9,41,1,970593,1
2013,8,23,0,165240,0
2013,9,3,0,78912,0
2013,10,83,0,38160,0
2014,9,97,0,5805,0
2014,1,65,3,27336,0
2014,6,18,1,281970,1
2014,4,86,3,172617,0
2014,7,27,1,28014,0
2014,6,29,1,1467726,1
2013,10,29,1,18048,0
2013,10,10,5,1397604,1
2014,8,76,1,9912,0
2014,5,7,2,48195,0
2014,1,79,2,438045,1
2014,8,100,1,30954,0
2014,8,73,0,11286,0
2014,10,13,8,18522,0
2014,10,84,2,16605,0
2013,8,47,6,269310,1
2014,9,22,0,3024,0
2014,9,65,0,2478,0
2013,10,3,3,18960,0
2014,2,5,0,46926,0
2014,5,94,2,22950,0
2014,4,21,0,1467726,0
2013,10,27,6,712011,1
2014,1,73,1,713832,1
2014,6,97,1,53802,0
2014,4,19,5,174924,1
2013,9,28,3,542880,0
2014,9,81,4,1421784,1
2013,8,69,0,748431,1
2014,4,43,4,43992,0
2014,6,16,2,1161972,1
2014,1,65,1,21402,0
2014,8,26,0,24180,0
2013,9,85,1,906912,1
2013,10,76,2,343728,1
2014,10,37,0,7047,0
2013,9,44,1,1467726,1
2014,5,98,3,570570,1
2014,4,98,3,47388,0
2014,1,4,12,16965,0
2013,10,86,3,64395,0
2014,3,5,4,1445874,1
2014,5,39,0,1467726,1
2014,5,94,17,22644,0
2013,10,69,1,16512,0
2014,10,74,0,779868,1
2014,5,9,1,1467726,1
2014,8,94,10,9204,0
2014,8,55,0,345990,0
2014,3,81,2,4002,0
2014,10,22,1,1382139,1
2014,8,50,2,1356498,1
2014,2,39,1,1467726,1
2014,1,60,6,153576,0
2014,4,77,5,243567,1
2014,10,4,8,23664,0
2014,3,94,1,15768,0
2014,8,87,3,48276,0
2014,1,81,0,2520,0
2014,8,96,1,31242,0
2014,10,80,1,672570,1
2014,3,50,1,540279,1
2013,9,41,6,9570,0
2014,9,94,1,39618,0
2014,10,4,14,335664,1
2014,6,59,3,730221,1
2014,8,30,0,52650,0
2014,9,57,0,1276521,1
2014,7,22,3,270270,1
2014,2,35,1,81915,0
2014,6,90,0,4275,0
2014,6,4,1,12474,0
2014,2,4,6,18618,0
2014,2,94,10,50175,0
2014,6,71,2,795777,1
2014,6,92,7,28836,0
2013,9,94,11,52824,0
2014,7,4,8,126483,0
2014,9,73,16,127920,0
2014,1,91,3,983664,1
2014,3,28,1,785625,1
2014,10,75,2,511632,1
2014,3,83,1,11664,0
2014,1,53,2,102396,1
2014,8,96,5,153765,0
2014,10,93,4,119505,0
2014,9,50,0,721116,1
2014,9,72,4,82836,0
2014,7,91,3,9792,0
2013,10,86,0,2478,0
2014,2,54,2,15651,0
2014,7,93,0,6342,0
2014,5,35,1,1156335,0
2014,2,82,6,159600,0
2014,7,60,4,24960,0
2014,8,7,6,123492,0
2014,10,80,0,53424,0
2014,2,91,8,537672,0
2014,4,4,9,15921,0
2014,3,85,2,240372,1
2014,7,18,3,1467726,1
2014,8,31,1,74760,1
2014,6,76,0,77805,0
2014,2,10,5,43524,0
2014,8,100,5,98880,0
2013,10,94,2,58443,0
2013,8,91,2,5226,0
2014,7,26,1,148512,0
2013,9,8,7,43524,0
2014,3,71,0,2520,0
2013,9,19,3,8400,0
2014,7,77,2,13965,0
2014,8,64,0,35112,0
2014,7,82,4,184800,0
2014,6,40,1,147459,1
2013,10,73,0,60828,0
2014,7,93,1,22572,0
2014,8,65,0,92040,0
2014,9,73,12,8568,0
2014,6,77,3,88506,1
2014,10,52,0,1436769,1
2014,10,10,0,4872,0
2014,2,80,2,66456,0
2014,6,94,15,95277,0
2014,5,81,5,4209,0
2014,6,61,3,141102,0
2014,9,85,0,2604,0
2014,10,53,2,148260,0
2014,2,83,0,1836,0
2014,10,94,6,50049,0
2014,10,21,1,19116,0
2014,8,29,1,32256,0
2014,5,85,3,240372,1
2014,8,76,0,214704,0
2014,10,54,1,659175,1
2014,5,20,2,31440,0
2014,5,69,0,1467726,1
2014,2,81,4,8832,0
2014,7,88,7,44400,0
2014,5,84,2,101331,0
2014,7,33,2,1125171,1
2013,9,21,0,1467726,1
2014,2,87,9,638001,1
2014,2,77,3,95526,0
2014,2,43,0,2478,0
2014,8,97,4,45576,0
2014,5,93,1,22572,0
